bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,26
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,71
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,14
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,18
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,36
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,79
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,87
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,90
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,97
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,80
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,73
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,92
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,82
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,92
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,181
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,217
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,250
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,260
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,229
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,506
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,453
99,99B,valid,String,1.0,100,100B,valid,String,908
9,9B,valid,String,1.0,10,10B,valid,String,1880
false,falseB,valid,String,1.0,true,trueB,valid,String,1981
-1,-1B,valid,String,1.0,0,0B,valid,String,1646
-10,-10B,valid,String,1.0,-9,-9B,valid,String,771
-100,-100B,valid,String,1.0,-99,-99B,valid,String,471
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,266
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,350
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,181
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,234
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,181
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,157
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,144
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,68
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,77
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,79
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,68
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,69
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,71
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,83
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,81
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,81
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,24
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,32
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,18
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,32
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,29
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,25
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,29
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,26
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,21
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,21
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,22
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,16
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,10
