bytes,output,outputtype,datatype,metric,n_bytes,n_output,n_outputtype,n_datatype,count
999999999999990520104160854016,"BoundsError(""kMGTPE"", 9)",error,BoundsError,1.0,999999999999990520104160854017,"BoundsError(""kMGTPE"", 10)",error,BoundsError,29
999999999999994822656,1000.0 EB,valid,String,15.0,999999999999994822657,"BoundsError(""kMGTPE"", 7)",error,BoundsError,79
999949999999999935999,999.9 EB,valid,String,1.0,999949999999999936000,1000.0 EB,valid,String,12
99949999999999991999,99.9 EB,valid,String,1.0,99949999999999992000,100.0 EB,valid,String,30
9950000000000001999,9.9 EB,valid,String,1.0,9950000000000002000,10.0 EB,valid,String,39
999949999999999999,999.9 PB,valid,String,2.0,999950000000000000,1.0 EB,valid,String,67
99949999999999999,99.9 PB,valid,String,1.0,99950000000000000,100.0 PB,valid,String,103
9950000000000999,9.9 PB,valid,String,1.0,9950000000001000,10.0 PB,valid,String,79
999949999999999,999.9 TB,valid,String,2.0,999950000000000,1.0 PB,valid,String,90
99949999999999,99.9 TB,valid,String,1.0,99950000000000,100.0 TB,valid,String,90
9950000000000,9.9 TB,valid,String,1.0,9950000000001,10.0 TB,valid,String,86
999949999999,999.9 GB,valid,String,2.0,999950000000,1.0 TB,valid,String,81
99949999999,99.9 GB,valid,String,1.0,99950000000,100.0 GB,valid,String,70
9950000000,9.9 GB,valid,String,1.0,9950000001,10.0 GB,valid,String,80
999949999,999.9 MB,valid,String,2.0,999950000,1.0 GB,valid,String,148
99949999,99.9 MB,valid,String,1.0,99950000,100.0 MB,valid,String,220
9950000,9.9 MB,valid,String,1.0,9950001,10.0 MB,valid,String,233
999949,999.9 kB,valid,String,2.0,999950,1.0 MB,valid,String,284
99949,99.9 kB,valid,String,1.0,99950,100.0 kB,valid,String,233
9950,9.9 kB,valid,String,1.0,9951,10.0 kB,valid,String,471
999,999B,valid,String,2.0,1000,1.0 kB,valid,String,373
99,99B,valid,String,1.0,100,100B,valid,String,882
9,9B,valid,String,1.0,10,10B,valid,String,1838
false,falseB,valid,String,1.0,true,trueB,valid,String,1861
-1,-1B,valid,String,1.0,0,0B,valid,String,1631
-10,-10B,valid,String,1.0,-9,-9B,valid,String,740
-100,-100B,valid,String,1.0,-99,-99B,valid,String,429
-1000,-1000B,valid,String,1.0,-999,-999B,valid,String,256
-10000,-10000B,valid,String,1.0,-9999,-9999B,valid,String,299
-100000,-100000B,valid,String,1.0,-99999,-99999B,valid,String,187
-1000000,-1000000B,valid,String,1.0,-999999,-999999B,valid,String,241
-10000000,-10000000B,valid,String,1.0,-9999999,-9999999B,valid,String,172
-100000000,-100000000B,valid,String,1.0,-99999999,-99999999B,valid,String,157
-1000000000,-1000000000B,valid,String,1.0,-999999999,-999999999B,valid,String,120
-10000000000,-10000000000B,valid,String,1.0,-9999999999,-9999999999B,valid,String,87
-100000000000,-100000000000B,valid,String,1.0,-99999999999,-99999999999B,valid,String,76
-1000000000000,-1000000000000B,valid,String,1.0,-999999999999,-999999999999B,valid,String,69
-10000000000000,-10000000000000B,valid,String,1.0,-9999999999999,-9999999999999B,valid,String,78
-100000000000000,-100000000000000B,valid,String,1.0,-99999999999999,-99999999999999B,valid,String,68
-1000000000000000,-1000000000000000B,valid,String,1.0,-999999999999999,-999999999999999B,valid,String,68
-10000000000000000,-10000000000000000B,valid,String,1.0,-9999999999999999,-9999999999999999B,valid,String,79
-100000000000000000,-100000000000000000B,valid,String,1.0,-99999999999999999,-99999999999999999B,valid,String,64
-1000000000000000000,-1000000000000000000B,valid,String,1.0,-999999999999999999,-999999999999999999B,valid,String,66
-10000000000000000000,-10000000000000000000B,valid,String,1.0,-9999999999999999999,-9999999999999999999B,valid,String,24
-100000000000000000000,-100000000000000000000B,valid,String,1.0,-99999999999999999999,-99999999999999999999B,valid,String,20
-1000000000000000000000,-1000000000000000000000B,valid,String,1.0,-999999999999999999999,-999999999999999999999B,valid,String,20
-10000000000000000000000,-10000000000000000000000B,valid,String,1.0,-9999999999999999999999,-9999999999999999999999B,valid,String,45
-100000000000000000000000,-100000000000000000000000B,valid,String,1.0,-99999999999999999999999,-99999999999999999999999B,valid,String,21
-1000000000000000000000000,-1000000000000000000000000B,valid,String,1.0,-999999999999999999999999,-999999999999999999999999B,valid,String,25
-10000000000000000000000000,-10000000000000000000000000B,valid,String,1.0,-9999999999999999999999999,-9999999999999999999999999B,valid,String,22
-100000000000000000000000000,-100000000000000000000000000B,valid,String,1.0,-99999999999999999999999999,-99999999999999999999999999B,valid,String,20
-1000000000000000000000000000,-1000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999,-999999999999999999999999999B,valid,String,30
-10000000000000000000000000000,-10000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999,-9999999999999999999999999999B,valid,String,29
-100000000000000000000000000000,-100000000000000000000000000000B,valid,String,1.0,-99999999999999999999999999999,-99999999999999999999999999999B,valid,String,16
-1000000000000000000000000000000,-1000000000000000000000000000000B,valid,String,1.0,-999999999999999999999999999999,-999999999999999999999999999999B,valid,String,11
-10000000000000000000000000000000,-10000000000000000000000000000000B,valid,String,1.0,-9999999999999999999999999999999,-9999999999999999999999999999999B,valid,String,3
