bd_in_length_total,bd_in_length_var,bd_oan,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i2_1,i2_2,output1,output2
4,0,14,0,1,0.9545454545454546,0.9545454545454546,1.0,1,0.0,1.0,1.0,Underweight,Severely obese
5,0,10,1,1,0.9473684210526316,0.9473684210526316,1.0,-1,1.0,0.0,1.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,14,0,1,0.6749655638598863,0.9545454545454546,0.7071067811865475,11,1.0,12.0,0.0,Severely obese,Underweight
6,0,10,1,1,0.6698906348083082,0.6698906348083082,1.0,-1,-1.0,0.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,14,0,1,0.22498852128662877,0.6749655638598863,0.33333333333333337,9,3.0,12.0,0.0,Severely obese,Underweight
5,0,6,1,1,0.21791341055434485,0.9245283018867925,0.23570226039551587,5,-3.0,8.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,16,0,1,0.17149858514250885,0.7071067811865476,0.24253562503633297,83,14.0,86.0,19.0,Normal,Obese
7,0,10,1,1,0.1624723438192189,0.9473684210526316,0.17149858514250885,-4,66.0,1.0,63.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,17,0,1,0.09578262852211514,0.3333333333333333,0.28734788556634544,25,11.0,22.0,1.0,Severely obese,Normal
8,0,19,0,1,0.08049844718999243,0.40249223594996214,0.19999999999999998,94,21.0,92.0,32.0,Overweight,Severely obese
8,0,13,0,1,0.07692307692307693,0.2773500981126146,0.2773500981126146,90,24.0,85.0,12.0,Obese,Underweight
8,0,6,1,1,0.06457185753341384,0.6537402316630345,0.09877295966495896,30,0.0,36.0,-13.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,6,1,1,0.06349686446684681,0.9245283018867925,0.0686802819743445,12,0.0,-2.0,-4.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.06052514826315221,0.6698906348083082,0.09035079029052513,1,63.0,-13.0,70.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,10,1,1,0.05563138921718244,0.09473684210526316,0.5872202195147035,0,1.0,1.0,-16.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.0550646709839144,0.9473684210526316,0.058123819371909635,43,-9.0,33.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,10,1,1,0.05424615798762963,0.6698906348083082,0.0809776330178916,-8,-2.0,8.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,6,1,1,0.05401152010191003,0.9245283018867925,0.058420623783698604,35,0.0,52.0,-2.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,6,1,1,0.04806393773696563,0.08404802744425387,0.57186276940104,106,-4.0,115.0,13.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,17,0,1,0.04719291781830087,0.2773500981126146,0.17015648503264194,90,34.0,83.0,14.0,Severely obese,Normal
10,1,6,1,1,0.043582682110868964,0.6537402316630345,0.06666666666666667,115,0.0,100.0,-15.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,14,0,1,0.04352352638335735,0.2315112784437724,0.1879974344054603,52,2.0,32.0,11.0,Underweight,Severely obese
7,0,14,0,1,0.04299056514241793,0.2315112784437724,0.18569533817705186,60,20.0,78.0,7.0,Severely obese,Underweight
8,0,17,0,1,0.042371359860703575,0.2773500981126146,0.15277211058890344,69,32.0,83.0,13.0,Severely obese,Normal
8,0,10,1,1,0.042157341425366986,0.6698906348083082,0.06293167755275526,10,10.0,-11.0,2.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,17,0,1,0.04207031619116713,0.2773500981126146,0.15168668220223594,67,21.0,90.0,15.0,Severely obese,Normal
7,0,10,1,1,0.04115105457755394,0.9473684210526316,0.04343722427630694,9,3.0,28.0,-10.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,6,1,1,0.04015894319884981,0.6537402316630345,0.06142951168339511,24,0.0,1.0,-1.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,14,0,1,0.03970385669764037,0.2315112784437724,0.17149858514250885,49,26.0,56.0,3.0,Severely obese,Underweight
8,0,10,1,1,0.034252177550314136,0.6698906348083082,0.051130999256491366,50,8.0,71.0,-10.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,14,0,1,0.03289580875615257,0.9545454545454546,0.03446227583977888,24,2.0,53.0,1.0,Severely obese,Underweight
8,0,10,1,1,0.031578947368421054,0.6698906348083082,0.04714045207910317,8,10.0,-22.0,10.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,6,1,1,0.03129054219594172,0.6537402316630345,0.04786387724118254,64,2.0,37.0,-10.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
6,1,6,1,1,0.030800503422628026,0.09245283018867925,0.33314830232638476,-29,1.0,1.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,0.030496868525351866,0.6698906348083082,0.04552514536059854,23,46.0,-3.0,29.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
12,0,11,0,1,0.029437240470473188,1.0,0.029437240470473188,284,101.0,259.0,124.0,Underweight,Normal
11,0,6,1,1,0.028877412575629046,0.08108649612461213,0.356130970701346,102,18.0,101.0,-14.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.02844809116759915,0.9473684210526316,0.030028540676910215,10,26.0,-12.0,51.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.027720271704346714,0.9473684210526316,0.029260286799032642,65,13.0,53.0,-19.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.027696569030748294,0.9473684210526316,0.02923526731023431,21,38.0,-12.0,47.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,6,1,1,0.027322313305388247,0.6537402316630345,0.041793837952857286,98,6.0,87.0,-26.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.02582238632213925,0.9473684210526316,0.027256963340035873,11,27.0,-24.0,38.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.025595205487498385,0.9473684210526316,0.02701716134791496,0,23.0,-1.0,60.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,11,0,1,0.024325212770525996,1.0,0.024325212770525996,188,61.0,215.0,92.0,Underweight,Normal
10,0,10,1,1,0.02386386577231003,0.0861244019138756,0.27708599702293313,26,102.0,-4.0,128.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.02339359571012186,0.9473684210526316,0.02469323991623974,22,5.0,0.0,-29.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.02332966895895089,0.9473684210526316,0.024625761678892605,33,-30.0,40.0,10.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,0.02307910439056244,0.0861244019138756,0.26797404542375275,36,124.0,-5.0,126.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.02276381043152587,0.6698906348083082,0.03398138330152924,-24,10.0,0.0,44.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
6,0,14,0,1,0.022192731032910955,0.9545454545454546,0.023249527748763855,14,2.0,57.0,1.0,Severely obese,Underweight
9,0,10,1,1,0.021866877290402965,0.9473684210526316,0.02308170380653646,73,20.0,59.0,-21.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.021047435322770737,0.6698906348083082,0.03141921118033474,36,59.0,-9.0,58.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,6,1,1,0.020819330289095477,0.9245283018867925,0.02251886745555225,93,10.0,99.0,-34.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.019941284272458053,0.6698906348083082,0.02976796992865011,65,-2.0,24.0,22.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,12,0,1,0.01966371575762536,0.20833333333333331,0.09438583563660173,75,14.0,95.0,7.0,Overweight,Underweight
9,0,10,1,1,0.019601192098477136,0.9473684210526316,0.0206901472150592,-34,36.0,10.0,56.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,11,0,1,0.01952172023607576,1.0,0.01952172023607576,128,32.0,88.0,0.0,Normal,Underweight
8,0,6,1,1,0.0191409214505878,0.6537402316630345,0.029279093626983395,32,1.0,54.0,-42.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.01885333623555769,0.9473684210526316,0.01990074380419978,7,5.0,-43.0,10.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
10,0,14,0,1,0.01808772781727658,0.08537714095908289,0.2118567993035179,161,25.0,137.0,72.0,Underweight,Severely obese
7,0,14,0,1,0.017756104508966836,0.2315112784437724,0.07669649888473704,61,0.0,52.0,53.0,Underweight,Severely obese
8,0,10,1,1,0.017433604152457517,0.6698906348083082,0.026024552735307623,-43,9.0,10.0,21.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
5,0,17,0,1,0.017117165741551164,0.08333333333333333,0.20540598889861397,0,0.0,58.0,7.0,Severely obese,Normal
10,1,6,1,1,0.016993168152168198,0.6537402316630345,0.025993762245501817,237,-32.0,193.0,0.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,0.01678665580906581,0.6698906348083082,0.025058800551629408,-22,89.0,6.0,40.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,0.01605478598837781,0.9473684210526316,0.016946718543287685,-19,7.0,40.0,8.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
11,0,11,0,1,0.015961737689352443,1.0,0.015961737689352443,289,69.0,259.0,124.0,Underweight,Normal
6,0,7,1,1,0.015703978214562278,0.0789115139065715,0.19900743804199783,-9,1.0,52.0,5.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
10,0,10,1,1,0.01568310219611436,0.0861244019138756,0.18209824216599452,-9,130.0,51.0,137.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,20,0,1,0.015526009953442287,0.7857142857142857,0.019760376304381093,146,60.0,106.0,91.0,Obese,Severely obese
11,0,14,0,1,0.015304594004195662,0.025714140061926526,0.5951820269835237,225,83.0,184.0,130.0,Underweight,Severely obese
7,0,10,1,1,0.015220856655855113,0.9473684210526316,0.016066459803402617,5,-7.0,48.0,38.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,1,6,1,1,0.0146437249574561,0.6537402316630345,0.022399913984495447,215,8.0,184.0,-47.0,Underweight,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.014518310341863397,0.6698906348083082,0.021672657576438378,54,74.0,-9.0,91.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
7,0,10,1,1,0.014383816379187694,0.9473684210526316,0.015182917289142565,9,26.0,66.0,-7.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
6,0,14,0,1,0.014373989364401724,0.9545454545454546,0.015058465048420854,64,1.0,1.0,22.0,Underweight,Severely obese
8,0,10,1,1,0.014158764456920724,0.6698906348083082,0.021135934317058052,56,-6.0,45.0,60.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,14,0,1,0.013771939765136349,0.08862732049359294,0.15539158454115684,95,15.0,143.0,65.0,Underweight,Severely obese
9,0,10,1,1,0.013684066928836025,0.9473684210526316,0.014444292869326915,21,-18.0,34.0,50.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,10,1,1,0.013600613781005076,0.6698906348083082,0.020302737602678898,-48,15.0,6.0,59.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,19,0,1,0.013537278845914205,0.40249223594996214,0.03363363969981563,17,56.0,65.0,10.0,Severely obese,Overweight
8,1,10,1,1,0.013499441050340776,0.06698906348083082,0.20151708874395136,1,4.0,-37.0,-55.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.013468029490330663,0.6698906348083082,0.020104818294981227,17,22.0,-1.0,90.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.013355144394503707,0.9473684210526316,0.014097096860865023,-24,76.0,30.0,30.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,10,1,1,0.013322091964493136,0.6698906348083082,0.019886965531777143,17,-4.0,48.0,60.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,10,1,1,0.01278594205545657,0.9473684210526316,0.0134962721696486,33,46.0,-6.0,-17.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
9,0,10,1,1,0.012676732188572808,0.9473684210526316,0.013380995087937964,74,-37.0,90.0,36.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,0.012663135403621325,0.0861244019138756,0.14703307218649203,20,31.0,-26.0,-28.0,Severely obese,"DomainError(""Height or Weight cannot be negative."", """")"
8,0,10,1,1,0.01252405532417425,0.6698906348083082,0.018695671611766978,-3,11.0,66.0,42.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,6,1,1,0.012468604304603592,0.08404802744425387,0.14835094509354885,106,-3.0,179.0,10.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
8,0,10,1,1,0.012412833765734243,0.6698906348083082,0.018529642184483178,-1,19.0,75.0,26.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
10,0,10,1,1,0.012387341011598208,0.0861244019138756,0.1438307928568903,-28,-11.0,40.0,24.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,10,1,1,0.012177817027793546,0.9473684210526316,0.01285436241822652,-55,8.0,1.0,62.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
8,0,14,0,1,0.012167962649763907,0.15692630606420468,0.07753934286062604,56,21.0,133.0,6.0,Severely obese,Underweight
9,0,10,1,1,0.01188489362360497,0.9473684210526316,0.012545165491583023,-49,46.0,26.0,73.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
9,0,7,1,1,0.011641710001743983,0.04656684000697593,0.25,143,-11.0,63.0,9.0,"DomainError(""Height or Weight cannot be negative."", """")",Normal
9,0,10,1,1,0.011553273427471117,0.9473684210526316,0.012195121951219511,-68,95.0,12.0,77.0,"DomainError(""Height or Weight cannot be negative."", """")",Severely obese
7,0,6,1,1,0.011552994026886325,0.9245283018867925,0.012496095580101535,-4,11.0,76.0,9.0,"DomainError(""Height or Weight cannot be negative."", """")",Underweight
