bd_in_length_total,bd_in_length_var,bd_out_length_diff,bd_validity_group,boundary_rank,fitness,fitness_max,fitness_ratio_max,i1_1,i1_2,i1_3,i2_1,i2_2,i2_3,output1,output2
6,0,33,1,0,1.0,1.0,1.0,0.0,1,1,1,1.0,1.0,"ArgumentError(""Day: 0 out of range (1:31)"")",0001-01-01
8,0,35,1,0,1.0,1.0,1.0,3.0,1,22,3,0.0,22.0,0022-01-03,"ArgumentError(""Month: 0 out of range (1:12)"")"
6,0,35,1,0,1.0,1.0,1.0,1.0,0,1,1,1.0,1.0,"ArgumentError(""Month: 0 out of range (1:12)"")",0001-01-01
8,0,33,1,0,1.0,1.0,1.0,1.0,1,22,0,1.0,22.0,0022-01-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
10,0,35,1,0,1.0,1.0,1.0,10.0,0,20,10,1.0,20.0,"ArgumentError(""Month: 0 out of range (1:12)"")",0020-01-10
12,2,32,1,0,1.0,1.0,1.0,1.0,1,-127,0,1.0,-127.0,0127-01-01,"ArgumentError(""Day: 0 out of range (1:31)"")"
10,0,34,1,0,1.0,1.0,1.0,10.0,1,-1,10,0.0,-1.0,0001-01-10,"ArgumentError(""Month: 0 out of range (1:12)"")"
8,0,34,1,0,1.0,1.0,1.0,6.0,1,-1,6,0.0,-1.0,0001-01-06,"ArgumentError(""Month: 0 out of range (1:12)"")"
14,1,34,1,0,1.0,1.0,1.0,21.0,0,-109,21,1.0,-109.0,"ArgumentError(""Month: 0 out of range (1:12)"")",0109-01-21
12,0,34,1,0,1.0,1.0,1.0,18.0,0,-99,18,1.0,-99.0,"ArgumentError(""Month: 0 out of range (1:12)"")",0099-01-18
10,1,32,1,0,1.0,1.0,1.0,1.0,2,-64,0,2.0,-64.0,0064-02-01,"ArgumentError(""Day: 0 out of range (1:29)"")"
10,1,34,1,0,1.0,1.0,1.0,1.0,1,-63,1,0.0,-63.0,0063-01-01,"ArgumentError(""Month: 0 out of range (1:12)"")"
10,0,34,1,0,1.0,1.0,1.0,10.0,0,-1,10,1.0,-1.0,"ArgumentError(""Month: 0 out of range (1:12)"")",-0001-01-10
10,0,35,1,0,1.0,1.0,1.0,14.0,1,25,14,0.0,25.0,0025-01-14,"ArgumentError(""Month: 0 out of range (1:12)"")"
6,0,35,1,0,1.0,1.0,1.0,9.0,1,5,9,0.0,5.0,0005-01-09,"ArgumentError(""Month: 0 out of range (1:12)"")"
10,0,35,1,0,1.0,1.0,1.0,17.0,1,11,17,0.0,11.0,0011-01-17,"ArgumentError(""Month: 0 out of range (1:12)"")"
10,0,35,1,1,0.98,1.0,0.98,12.0,0,27,12,1.0,27.0,"ArgumentError(""Month: 0 out of range (1:12)"")",0027-01-12
12,2,34,1,1,0.9787234042553191,1.0,0.9787234042553191,1.0,0,-126,1,1.0,-126.0,"ArgumentError(""Month: 0 out of range (1:12)"")",0126-01-01
9,0,35,1,1,0.7071067811865476,0.7071067811865476,1.0,9.0,1,20,10,0.0,20.0,0020-01-09,"ArgumentError(""Month: 0 out of range (1:12)"")"
9,0,34,1,1,0.7071067811865476,0.9795918367346939,0.7218381724612674,10.0,1,-1,10,0.0,0.0,0001-01-10,"ArgumentError(""Month: 0 out of range (1:12)"")"
7,0,34,1,1,0.7071067811865476,0.7071067811865476,1.0,6.0,1,-1,6,0.0,0.0,0001-01-06,"ArgumentError(""Month: 0 out of range (1:12)"")"
7,0,35,1,1,0.7071067811865476,0.7071067811865476,1.0,6.0,1,0,6,0.0,-1.0,0000-01-06,"ArgumentError(""Month: 0 out of range (1:12)"")"
13,1,34,1,1,0.7071067811865476,0.7071067811865476,1.0,18.0,1,-99,18,0.0,-100.0,0099-01-18,"ArgumentError(""Month: 0 out of range (1:12)"")"
11,0,34,1,1,0.7071067811865476,0.98,0.7215375318230077,21.0,1,-9,21,0.0,-10.0,0009-01-21,"ArgumentError(""Month: 0 out of range (1:12)"")"
10,1,32,1,1,0.7071067811865476,1.0,0.7071067811865476,1.0,3,-19,0,2.0,-19.0,-0019-03-01,"ArgumentError(""Day: 0 out of range (1:28)"")"
10,1,34,1,1,0.7071067811865476,1.0,0.7071067811865476,4.0,0,-23,5,1.0,-23.0,"ArgumentError(""Month: 0 out of range (1:12)"")",-0023-01-05
12,2,32,1,1,0.5773502691896257,1.0,0.5773502691896257,0.0,8,-170,1,9.0,-169.0,"ArgumentError(""Day: 0 out of range (1:31)"")",-0169-09-01
12,0,34,1,1,0.5773502691896257,1.0,0.5773502691896257,21.0,1,-92,22,0.0,-91.0,-0092-01-21,"ArgumentError(""Month: 0 out of range (1:12)"")"
10,1,34,1,1,0.5773502691896257,1.0,0.5773502691896257,6.0,1,-95,7,0.0,-96.0,-0095-01-06,"ArgumentError(""Month: 0 out of range (1:12)"")"
8,0,0,0,1,0.5454545454545454,0.6,0.9090909090909091,9.0,3,19,9,3.0,20.0,0019-03-09,0020-03-09
8,0,0,0,1,0.5454545454545454,0.6,0.9090909090909091,4.0,1,29,4,1.0,30.0,0029-01-04,0030-01-04
6,0,0,0,1,0.51425947722658,0.51425947722658,1.0,8.0,4,7,8,5.0,6.0,0007-04-08,0006-05-08
